"species","type","comparison","post","oob","firstmod","secmod","winner","loserPost","shipPost","admixPost","MLPost"
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.709376666666667,0.026631957257981,"Ship","admix","Ship",0.290623333333333,0.709376666666667,0.290623333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.853578333333333,0.0275661089732663,"Ship","ML","Ship",0.146421666666667,0.853578333333333,NA,0.146421666666667
"Hemigrapsus_sanguineus","untrans","ShipVML",0.701298333333333,0.0205480942553832,"Ship","ML","Ship",0.298701666666667,0.701298333333333,NA,0.298701666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.509356666666667,0.462990823541574,"Admix","ML","ML",0.490643333333333,NA,0.490643333333333,0.509356666666667
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.466028333333334,0.448835735136885,"Admix","ML","ML",0.533971666666666,NA,0.533971666666666,0.466028333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.866983333333333,0.0279608282993177,"Ship","admix","Ship",0.133016666666667,0.866983333333333,0.133016666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.712441666666667,0.0266664969977695,"Ship","admix","Ship",0.287558333333333,0.712441666666667,0.287558333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.856426666666667,0.0275280267228591,"Ship","ML","Ship",0.143573333333333,0.856426666666667,NA,0.143573333333333
"Hemigrapsus_sanguineus","untrans","ShipVML",0.698936666666667,0.0206224453157019,"Ship","ML","Ship",0.301063333333333,0.698936666666667,NA,0.301063333333333
"Hemigrapsus_sanguineus","pca","AdmixVML",0.509081666666667,0.46266979712763,"Admix","ML","ML",0.490918333333333,NA,0.490918333333333,0.509081666666667
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.518236666666667,0.446477007163242,"Admix","ML","ML",0.481763333333333,NA,0.481763333333333,0.518236666666667
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.865101666666667,0.0279571925372347,"Ship","admix","Ship",0.134898333333333,0.865101666666667,0.134898333333333,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.713881666666667,0.026657407592562,"Ship","admix","Ship",0.286118333333333,0.713881666666667,0.286118333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.858125,0.0275788030567353,"Ship","ML","Ship",0.141875,0.858125,NA,0.141875
"Hemigrapsus_sanguineus","untrans","ShipVML",0.707325,0.020626072196693,"Ship","ML","Ship",0.292675,0.707325,NA,0.292675
"Hemigrapsus_sanguineus","pca","AdmixVML",0.522000555555556,0.462759575701021,"Admix","ML","ML",0.477999444444444,NA,0.477999444444444,0.522000555555556
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.494691666666666,0.448180079494846,"Admix","ML","Admix",0.505308333333334,NA,0.494691666666666,0.505308333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.868773333333333,0.0279644640614008,"Ship","admix","Ship",0.131226666666667,0.868773333333333,0.131226666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.699371666666667,0.026744665882554,"Ship","admix","Ship",0.300628333333333,0.699371666666667,0.300628333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.845305,0.0275806164972309,"Ship","ML","Ship",0.154695,0.845305,NA,0.154695
"Hemigrapsus_sanguineus","untrans","ShipVML",0.703471666666667,0.0206242587561974,"Ship","ML","Ship",0.296528333333333,0.703471666666667,NA,0.296528333333333
"Hemigrapsus_sanguineus","pca","AdmixVML",0.49681,0.4633825845891,"Admix","ML","ML",0.50319,NA,0.50319,0.49681
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.471771666666666,0.446890532713408,"Admix","ML","Admix",0.528228333333334,NA,0.471771666666666,0.528228333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.870429583333333,0.0279680998234837,"Ship","admix","Ship",0.129570416666667,0.870429583333333,0.129570416666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.704961666666667,0.0266410466631885,"Ship","admix","Ship",0.295038333333333,0.704961666666667,0.295038333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.851275,0.0275679224137618,"Ship","ML","Ship",0.148725,0.851275,NA,0.148725
"Hemigrapsus_sanguineus","untrans","ShipVML",0.706141666666667,0.0206024974702505,"Ship","ML","Ship",0.293858333333333,0.706141666666667,NA,0.293858333333333
"Hemigrapsus_sanguineus","pca","AdmixVML",0.520091666666667,0.463798830702096,"Admix","ML","ML",0.479908333333333,NA,0.479908333333333,0.520091666666667
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.49607,0.4491812466163,"Admix","ML","ML",0.50393,NA,0.50393,0.49607
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.86967,0.0279917322770233,"Ship","admix","Ship",0.13033,0.86967,0.13033,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.720213333333334,0.0266992188565165,"Ship","admix","Ship",0.279786666666666,0.720213333333334,0.279786666666666,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.852150151515151,0.0275262132823636,"Ship","ML","Ship",0.147849848484849,0.852150151515151,NA,0.147849848484849
"Hemigrapsus_sanguineus","untrans","ShipVML",0.701935,0.020626072196693,"Ship","ML","Ship",0.298065,0.701935,NA,0.298065
"Hemigrapsus_sanguineus","pca","AdmixVML",0.528438333333334,0.462601783056879,"Admix","ML","ML",0.471561666666666,NA,0.471561666666666,0.528438333333334
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.488781666666666,0.447823685764111,"Admix","ML","Admix",0.511218333333334,NA,0.488781666666666,0.511218333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.87311,0.0279571925372347,"Ship","admix","Ship",0.12689,0.87311,0.12689,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.710543333333334,0.0266337751390225,"Ship","admix","Ship",0.289456666666666,0.710543333333334,0.289456666666666,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.84766,0.0275479745683105,"Ship","ML","Ship",0.15234,0.84766,NA,0.15234
"Hemigrapsus_sanguineus","untrans","ShipVML",0.710208333333333,0.0206623410066046,"Ship","ML","Ship",0.289791666666667,0.710208333333333,NA,0.289791666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.515749999999999,0.464190591749621,"Admix","ML","Admix",0.484250000000001,NA,0.515749999999999,0.484250000000001
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.480653333333333,0.447538026666957,"Admix","ML","ML",0.519346666666667,NA,0.519346666666667,0.480653333333333
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.86889,0.0279662819424423,"Ship","admix","Ship",0.13111,0.86889,0.13111,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.703548333333334,0.02667922216506,"Ship","admix","Ship",0.296451666666666,0.703548333333334,0.296451666666666,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.855669523809524,0.0275534148897972,"Ship","ML","Ship",0.144330476190476,0.855669523809524,NA,0.144330476190476
"Hemigrapsus_sanguineus","untrans","ShipVML",0.713733333333333,0.0206061243512417,"Ship","ML","Ship",0.286266666666667,0.713733333333333,NA,0.286266666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.510881666666667,0.464013755165669,"Admix","ML","Admix",0.489118333333333,NA,0.510881666666667,0.489118333333333
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.515929999999999,0.448267137505407,"Admix","ML","ML",0.484070000000001,NA,0.484070000000001,0.515929999999999
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.86936,0.0279608282993177,"Ship","admix","Ship",0.13064,0.86936,0.13064,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.712275,0.0266774042840185,"Ship","admix","Ship",0.287725,0.712275,0.287725,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.857381666666667,0.027558855211284,"Ship","ML","Ship",0.142618333333333,0.857381666666667,NA,0.142618333333333
"Hemigrapsus_sanguineus","untrans","ShipVML",0.709973333333333,0.0205825496247992,"Ship","ML","Ship",0.290026666666667,0.709973333333333,NA,0.290026666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.504982916666667,0.463107807743266,"Admix","ML","ML",0.495017083333333,NA,0.495017083333333,0.504982916666667
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.49376,0.447679495934119,"Admix","ML","ML",0.50624,NA,0.50624,0.49376
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.863791666666667,0.0279553746561932,"Ship","admix","Ship",0.136208333333333,0.863791666666667,0.136208333333333,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.718715000000001,0.0267064903806825,"Ship","admix","Ship",0.281284999999999,0.718715000000001,0.281284999999999,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.846496666666667,0.0275443476873193,"Ship","ML","Ship",0.153503333333333,0.846496666666667,NA,0.153503333333333
"Hemigrapsus_sanguineus","untrans","ShipVML",0.702025,0.0206115646727284,"Ship","ML","Ship",0.297975,0.702025,NA,0.297975
"Hemigrapsus_sanguineus","pca","AdmixVML",0.506281666666667,0.463066999300815,"Admix","ML","ML",0.493718333333333,NA,0.493718333333333,0.506281666666667
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.522966666666667,0.448038610227684,"Admix","ML","ML",0.477033333333333,NA,0.477033333333333,0.522966666666667
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.85823,0.0279408316078612,"Ship","admix","Ship",0.14177,0.85823,0.14177,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.716105,0.026628321495898,"Ship","admix","Ship",0.283895,0.716105,0.283895,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.8625,0.0275788030567353,"Ship","ML","Ship",0.1375,0.8625,NA,0.1375
"Hemigrapsus_sanguineus","untrans","ShipVML",0.686733333333333,0.0206278856371886,"Ship","ML","Ship",0.313266666666667,0.686733333333333,NA,0.313266666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.520021212121213,0.462182816381053,"Admix","ML","Admix",0.479978787878787,NA,0.520021212121213,0.479978787878787
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.496711666666667,0.447861773643731,"Admix","ML","ML",0.503288333333333,NA,0.503288333333333,0.496711666666667
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.865296666666667,0.0279117455111972,"Ship","admix","Ship",0.134703333333333,0.865296666666667,0.134703333333333,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.709928333333333,0.0267137619048485,"Ship","admix","Ship",0.290071666666667,0.709928333333333,0.290071666666667,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.852391666666667,0.0275933105806999,"Ship","ML","Ship",0.147608333333333,0.852391666666667,NA,0.147608333333333
"Hemigrapsus_sanguineus","untrans","ShipVML",0.705675000000001,0.0206061243512417,"Ship","ML","Ship",0.294324999999999,0.705675000000001,NA,0.294324999999999
"Hemigrapsus_sanguineus","pca","AdmixVML",0.491111666666667,0.462185536943883,"Admix","ML","Admix",0.508888333333333,NA,0.491111666666667,0.508888333333333
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.479066666666666,0.447173471247732,"Admix","ML","Admix",0.520933333333334,NA,0.479066666666666,0.520933333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.86982,0.0279517388941102,"Ship","admix","Ship",0.13018,0.86982,0.13018,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.715921666666667,0.0267246691910975,"Ship","admix","Ship",0.284078333333333,0.715921666666667,0.284078333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.848653333333333,0.0276096315451601,"Ship","ML","Ship",0.151346666666667,0.848653333333333,NA,0.151346666666667
"Hemigrapsus_sanguineus","untrans","ShipVML",0.706043333333334,0.0206496469231355,"Ship","ML","Ship",0.293956666666666,0.706043333333334,NA,0.293956666666666
